id	comma-separated identified biomolecules	patent name	patent title	patent abstract
8173443	noninformative abundant protein	US20140256579	Protein Arrays	Protein arrays are provided comprising single domain antibodies obtainable from Camelidae which are capable of detecting even minor changes in the expression of proteins in cell and tissue extracts and having an optimal signal to noise ratio by removing non-informative abundant proteins from said cell or tissue extracts.
8181388	binding molecule,bind molecule,use binding molecule	WO03050283	A STRUCTURE FOR PRESENTING DESIRED PEPTIDE SEQUENCES	Provided are means, methods for generating binding peptide associated with a suitable core region, the resulting proteinaceous molecule and uses thereof. The invention provides a solution to the problems associated with the use of binding molecules over their entire range of use. Binding molecules can be designed to accommodate extreme conditions of use such as extreme temperatures or pH. Alternatively, binding molecules can be designed to respond to very subtle changes in the environment.
8221483	immunoglobulin,light chain,heavy chain,recombinant bivalent monospecific immunoglobulin	US7655759	Recombinant bivalent monospecific immunoglobulin having at least two variable fragments of heavy chains of an immunoglobulin devoid of light chains	The present invention relates to fragments, especially variable fragments of immunoglobulins which are by nature devoid of light chains, these fragments being nevertheless capable of exhibiting a recognition and binding activity toward specific antigens. The present invention further relates to the use of such immunoglobulin fragments formed of at least one heavy chain variable fragment or derived therefrom, for therapeutic or veterinary purposes and especially for passive immunotherapy or serotherapy.
8229570	immunoglobulin,a multivalent antigen binding protein,heavy chain variable domain,multivalent antigenbinding proteins	US6670453	MULTIVALENT ANTIGEN-BINDING PROTEINS	A multivalent antigen binding protein comprises a single polypeptide chain comprising, in series, two or more single domain binding units which are preferably heavy chain variable domains derived from an immunoglobulin naturally devoid of light chains. Methods for their production and uses thereof, in particular for diagnosis, immunoassay and purification methods are disclosed.
8229630		US6551495	Electrochemical assays	Disclosed is a component for a device for detecting the presence of an analyte of interest in a sample, the component comprising an electrically conducting solid support having immobilized thereon a chemical moiety, said chemical moiety comprising an electroactive portion with an electrochemical property capable of being directly modulated in a detectable manner by the binding thereto of a binding partner having a specific binding activity for the electroactive portion, together with apparatus comprising the component, and a method of detecting the presence of an analyte of interest.
8241342	heavy chain variable domain,multivalent bind protein,immunoglobulin,amino acid sequence,light chain,antigenbinding protein	EP1002861	Antigen-binding proteins comprising a linker which confers restricted conformational flexibility	Use of a polypeptide linker group, the amino acid sequence of which group confers restricted conformational flexibility, as a linking group to link binding units, preferably antigen binding units comprising heavy chain variable domains derived from an immunoglobulin naturally devoid of light chains, in a multivalent binding protein.
8241623	immunoglobulin,light chain,heavy chain variable domain	WO0119871	DELIVERY SYSTEM FOR ANTIDANDRUFF AGENT	Compositions for topical application comprising an active agent conjugated with an antibody, or fragment thereof, capable of binding specifically to the micro-organism Malassezia furfur, methods for their preparation and their use in targeting an active agent to a site at which Malassezia furfur is present are described. Also described are antibody fragments capable of binding specifically to Malassezia furfur comprising a heavy chain variable domain derived from an immunoglobulin naturally devoid of light chains, or functional equivalents thereof.
8241761	light chain,antibody	WO0144301	IMMOBILIZED SINGLE DOMAIN ANTIGEN-BINDING MOLECULES	The immobilisation of single domain antigen binding fragments of antibodies naturally devoid of light chains, or protein domains functionally equivalent thereto, onto a solid surface through covalent cross-linking is described. The binding fragments are devoid of any appended polypeptide tail or linking group. Materials comprising fragments so immobilised and uses thereof are also described.
8241831	cellulose binding domain,fusion protein	US6919428	Detergent compositions comprising benefit agents	Fusion protein comprising a cellulose binding domain and a domain having a high binding affinity for another ligand and detergent compositions comprising such fusion proteins.
8242120	artificial receptor	US6479280	Recombinant phages capable of entering host cells via specific interaction with an artificial receptor	The invention relates to a genetically modified bacteriophage, pseudovirion or phagemid capable of entering a host cell by binding of its artificial ligand to an artificial receptor present on said host cell. The invention relates also to the use of the genetically modified bacteriophage, pseudovirion or phagemid and of the host cell to screen sequence libraries, including antibody library.
19102239	arbitrary antigen,tetrameric igg,vhh	US7371849	Methods of constructing camel antibody libraries	The present invention provides camel antibody libraries that maintain in vivo diversity of camelid antibody variable region genes. The in vivo diversity of antibody variable region genes can be accomplished by, for example, mixing genes derived from a plurality of animals or modifying gene amplification conditions. Conventional methods yield only VHHs with limited repertoire diversity. However, the present invention provides libraries comprising genes encoding functional VHHs with sufficient repertoire size. According to the present invention, libraries that enable to freely obtain VHHs against arbitrary antigens are provided. VHHs have excellent solubility and stability, and show a reactivity that usually cannot be expected from tetrameric IgGs.
23305560	selfassembly molecule,single domain antibody,complementary selfassembly unit,multimeric complex,selfassembly unit	US7655412	Self-assembly molecules	There is provided a method of forming a multimeric complex having affinity for a target. The method comprises: obtaining a plurality of self-assembly molecules, said self-assembly molecules including complementary self-assembly units such as verotoxin subunit B, each of which is operatively connected to an interaction domain such as a single domain antibody specific for the target; and combining said self-assembly molecules such that at least three said self-assembly units simultaneously bind to one another so as to permit the single domain antibodies to bind the target.
24764915	immunoglobulin,nucleic acid encode such protein,binding protein	EP2141243	Protein scaffolds for antibody mimics and other binding proteins	Disclosed herein are proteins that include an immunoglobulin fold and that can be used as scaffolds. Also disclosed herein are nucleic acids encoding such proteins and the use of such proteins in diagnostic methods and in methods for evolving novel compound-binding species and their ligands.
26132410	immunoglobulin,light polypeptide chain	US5800988	Immunoglobulins devoid of light chains	There is provided an isolated immunoglobulin comprising two heavy polypeptide chains sufficient for the formation of a complete antigen binding site or several antigen binding sites, wherein the immunoglobulin is further devoid of light polypeptide chains.
26149079	vhhtype antibody,traditional antibody,vhh	US9080157	Products comprising inactivated yeasts or moulds and active VHH-type antibodies	The use of VHHs in the preparation of products to provide stability of antibody specificity under destabilizing conditions whereby normally lower eukaryotes or traditional antibodies are killed or inactivated.
26756645	cell surface antigen	US20050261478	Compositions and methods for regulating lymphocyte activation	The present invention relates to regulation of lymphocyte activation. In particular, it relates to compositions and methods for regulating lymphocyte activation by selectively binding multiple cell surface antigens expressed by the same lymphocyte.
26902067	sdab,cmychis5 tag,llama antibody,phagedisplayed sdab,fusion protein,bbb,his5,llama single heavy domain antibody	US8715659	Single domain brain-targeting antibody fragments derived from llama antibodies	A phage-displayed library of llama single heavy domain antibodies (sdAbs) was enriched for species that selectively bind to and are internalized by human cerebromicrovascular endothelial cells (HCEC). From the enriched library, two sdAbs were selected, sequenced, subcloned, and expressed as fusion proteins with c-myc-His5 tags (His5 is SEQ ID NO:101). Similarly as phage-displayed sdAbs, these soluble tagged sdAbs were shown to selectively bind to HCEC and to transmigrate across in vitro human blood-brain barrier (BBB) model. In contrast to an unrelated llama sdAb, these sdAbs were also detected in the brain after i.v. injection into mice. These small (~13 kDa) antibody fragments have essential characteristics of brain-specific delivery vectors and can be used to facilitate drug transport across the BBB.
27234867	immunoglobulin,light polypeptide chain	US6005079	Immunoglobulins devoid of light chains	There is provided an isolated immunoglobulin comprising two heavy polypeptide chains sufficient for the formation of a complete antigen binding site or several antigen binding sites, wherein the immunoglobulin is further devoid of light polypeptide chains.
29286289	camelid antibody,heavy chain immunoglobulin,antibody	EP1118669	Production of camelid antibodies in plants	A method for modifying a plant to produce antibodies or active fragments or derivatives thereof in a desired cellular compartment comprising introducing into a plant a DNA sequence encoding a heavy chain immunoglobulin or an active fragment or derivative thereof or a sequence encoding a protein functionally equivalent thereto and plants so modified are disclosed.
29762591	heavy chain variable domain,human dietary enzyme,immunoglobulin,light chain,human pancreatic lipase,an antibody	US7361741	Antibody, or fragment thereof, capable of binding specifically to human pancreatic lipase	An antibody, or fragment thereof, capable of binding specifically to one or more human dietary enzymes, said antibody or fragment thereof comprising a heavy chain variable domain derived from an immunoglobulin naturally devoid of light chains, or a functional equivalent thereof.
32104491	singlechain camelide antibody,said antibody,singlechain camelide antibodies	WO2004044204	VARIABLE FRAGMENTS OF SINGLE-CHAIN CAMELIDE ANTIBODIES AND USES THEREOF FOR DIAGNOSING AND TREATING VARIOUS PATHOLOGIES	The invention concerns variable fragments of single-chain camelide antibodies directed against amyloid beta-peptide 1-42 as well as against phosphorylcholine. The invention also concerns uses thereof for treating and diagnosing pathologies associated with molecules identified by said antibodies, and in particular neurodegenerative diseases, such as Alzheimer's disease and infectious diseases induced by pathogens (viruses or bacteria).
32314976	protein therapeutic molecule,vhh polypeptide,egfr,vhh	US9243065	Polypeptide constructs including VHH directed against EGFR for intracellular delivery	The invention relates to a method suitable for administering protein therapeutic molecules orally, sublingually, topically, intravenously, subcutaneously, nasally, vaginally, rectally or by inhalation so as to avoid inactivation, by using VHH polypeptides derived from Camelidae antibodies. The invention further relates to the said therapeutic molecules. The invention further relates to a method for delivering therapeutic molecules to the interior of cells. The invention further relates to polypeptide constructs including VHH directed against EGFR.
32686143	vhh polypeptide	US7790367	Method for screening a library of VHH polypeptides	There are provided methods for screening a library of VHH polypeptides for VHH polypeptides that bind to an antigen including subjecting a library of VHH polypeptides to antigen-affinity selection with the antigen.
32777008	cdrh3,viral coat protein,variable domain,heterologous polypeptide,synthetic antibody,immunoglobulin polypeptide,cdr	WO2004065416	SYNTHETIC ANTIBODY PHAGE LIBRARIES	The invention provides immunoglobulin polypeptides comprising variant amino acids in CDRs of antibody variable domains. In one embodiment, the polypeptide is a variable domain of a monobody and has a variant CDRH3 region. These polypeptides provide a source of great sequence diversity that can be used as a source for identifying novel antigen binding polypeptides. The invention also provides these polypeptides as fusion polypeptides to heterologous polypeptides such as at least a portion of phage or viral coat proteins, tags and linkers. Libraries comprising a plurality of these polypeptides are also provided. In addition, methods of and compositions for generating and using these polypeptides and libraries are provided.
32830281	protein therapeutic molecule,vhh polypeptide,anti-ige therapeutic molecule	WO2004041867	CAMELIDAE ANTIBODIES AGAINST IMMINOGLOBULIN E AND USE THEREOF FOR THE TREATMENT OF ALLERGIC DISORDERS	The invention relates to a method suitable for administering protein therapeutic molecules orally, sublingually, topically, intravenously, subcutaneously, nasally, vaginally, rectally or by inhalation so as to avoid inactivation, by using VHH polypeptides derived from Camelidae antibodies. The invention further relates to the said therapeutic molecules. The invention further a method for delivering therapeutic molecules to the interior of cells. The invention furthe relates to anti-IgE therapeutic molecules.
32893039	von willebrand factor,a1 domain,vwf,vwf a3 domain,vwf a1 domain,gpib and/or collagen	US9028816	Polypeptides and polypeptide constructs comprising single domain antibodies directed against von Willebrand factor	The present invention relates to polypeptides and polypeptide constructs comprising at least one single domain antibody directed against vWF, vWF A1 domain, A1 domain of activated vWF, vWF A3 domain, homologues of said polypeptides, and/or functional portions of said polypeptides, for the treatment for conditions which require a modulation of platelet-mediated aggregation.
32962636	nucleic acid sequence	EP1764113	Antibodies against lung cancer, antigens and methods of use thereof for treating lung cancer	Disclosed herein are peptides that specifically bind to a lung cancer cell, as well as nucleic acid sequences that encode such peptides.
33457183		EP2357237	A PROCESS FOR RECOVERING POLYPEPTIDES THAT UNFOLD REVERSIBLY FROM A POLYPEPTIDE REPERTOIRE	The invention relates to polypeptides that unfold reversibly (e.g., unfolds when heated and refolds when cooled), to repertoires containing polypeptides that unfold reversibly and to libraries that contain polypeptides that unfold reversibly or nucleic acids that encode polypeptides that unfold reversibly. The invention further relates to processes for producing a library enriched in polypeptides that unfold reversibly or nucleic acids encoding polypeptides that unfold reversibly, processes for selecting and/or isolating polypeptides that unfold reversibly, and to methods for producing a polypeptide that unfolds reversibly.
